flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_N,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
D,2019-05-17 10:00:00,SU,2136,I,3,IST,32A,158,96,
A,2019-05-17 18:25:00,SU,2137,I,2,IST,32A,158,133,
D,2019-05-17 17:40:00,SU,2138,I,2,IST,73H,158,102,
A,2019-05-17 04:05:00,SU,2139,I,3,IST,320,140,63,
D,2019-05-17 09:35:00,SU,2142,I,2,AYT,32B,183,147,
A,2019-05-17 18:10:00,SU,2143,I,3,AYT,32B,183,147,
D,2019-05-17 20:15:00,SU,2144,I,2,AYT,321,170,147,
A,2019-05-17 05:25:00,SU,2145,I,2,AYT,321,170,106,
D,2019-05-17 11:20:00,SU,2152,I,3,DUS,32A,158,141,
A,2019-05-17 18:50:00,SU,2153,I,3,DUS,32A,158,156,
D,2019-05-17 14:25:00,SU,2154,I,3,DUS,32B,183,140,
A,2019-05-17 21:50:00,SU,2155,I,3,DUS,32B,183,175,
D,2019-05-17 15:55:00,SU,2156,I,3,BOJ,32A,158,156,
A,2019-05-17 23:50:00,SU,2157,I,3,BOJ,32A,158,37,
D,2019-05-17 16:10:00,SU,2164,I,3,VNO,SU9,87,32,
A,2019-05-17 20:45:00,SU,2165,I,3,VNO,SU9,87,70,
D,2019-05-17 08:15:00,SU,2168,I,5,BRU,73H,158,100,
A,2019-05-17 16:10:00,SU,2169,I,5,BRU,73H,158,136,
D,2019-05-17 10:20:00,SU,2174,I,5,OSL,32A,158,49,
A,2019-05-17 16:40:00,SU,2175,I,5,OSL,32A,158,59,
D,2019-05-17 20:25:00,SU,2180,I,3,GOT,SU9,87,24,
D,2019-05-17 09:05:00,SU,2184,I,5,VIE,32B,183,161,
A,2019-05-17 15:40:00,SU,2185,I,5,VIE,32B,183,99,
D,2019-05-17 19:45:00,SU,2192,I,5,AMS,32B,183,116,
A,2019-05-17 04:25:00,SU,2193,I,3,AMS,32B,183,137,
D,2019-05-17 18:20:00,SU,2200,I,3,HEL,320,140,100,
A,2019-05-17 22:45:00,SU,2201,I,3,HEL,320,140,122,
D,2019-05-17 08:30:00,SU,2202,I,3,HEL,SU9,87,67,
A,2019-05-17 13:05:00,SU,2203,I,3,HEL,SU9,87,68,
D,2019-05-17 10:40:00,SU,2206,I,3,HEL,SU9,87,69,
A,2019-05-17 15:10:00,SU,2207,I,3,HEL,SU9,87,55,
D,2019-05-17 10:25:00,SU,2210,I,3,ARN,73H,158,53,
A,2019-05-17 15:50:00,SU,2211,I,3,ARN,73H,158,109,
D,2019-05-17 18:05:00,SU,2262,I,5,TLL,SU9,87,66,
A,2019-05-17 22:20:00,SU,2263,I,3,TLL,SU9,87,61,
D,2019-05-17 10:15:00,SU,2300,I,3,FRA,320,140,118,
A,2019-05-17 18:30:00,SU,2301,I,3,FRA,320,140,124,
D,2019-05-17 18:50:00,SU,2304,I,3,FRA,320,140,84,
A,2019-05-17 02:35:00,SU,2305,I,3,FRA,320,140,110,
D,2019-05-17 07:55:00,SU,2306,I,3,FRA,32B,183,85,
A,2019-05-17 15:35:00,SU,2307,I,3,FRA,32B,183,171,
D,2019-05-17 09:20:00,SU,2312,I,3,SXF,32A,158,98,
A,2019-05-17 15:45:00,SU,2313,I,3,SXF,32A,158,111,
D,2019-05-17 15:25:00,SU,2314,I,3,SXF,32A,158,110,
A,2019-05-17 21:45:00,SU,2315,I,3,SXF,32A,158,154,
D,2019-05-17 19:35:00,SU,2316,I,3,SXF,32B,183,157,
A,2019-05-17 04:00:00,SU,2317,I,3,SXF,32B,183,71,
D,2019-05-17 11:20:00,SU,2318,I,3,SXF,32A,158,65,
A,2019-05-17 18:00:00,SU,2319,I,3,SXF,32A,158,104,
D,2019-05-17 06:50:00,SU,2320,I,3,MUC,32A,158,39,
A,2019-05-17 14:15:00,SU,2321,I,3,MUC,32A,158,127,
D,2019-05-17 09:25:00,SU,2322,I,3,MUC,321,170,114,
A,2019-05-17 16:40:00,SU,2323,I,3,MUC,321,170,166,
D,2019-05-17 14:30:00,SU,2326,I,3,MUC,73H,158,88,
A,2019-05-17 21:40:00,SU,2327,I,3,MUC,73H,158,158,
D,2019-05-17 10:55:00,SU,2336,I,3,STR,320,140,123,
A,2019-05-17 18:35:00,SU,2337,I,3,STR,320,140,127,
D,2019-05-17 19:00:00,SU,2338,I,3,STR,320,140,83,
A,2019-05-17 02:50:00,SU,2339,I,3,STR,320,140,45,
D,2019-05-17 10:45:00,SU,2342,I,3,HAJ,32A,158,135,
A,2019-05-17 17:45:00,SU,2343,I,3,HAJ,32A,158,137,
D,2019-05-17 11:25:00,SU,2344,I,3,DRS,SU9,87,32,
A,2019-05-17 17:55:00,SU,2345,I,3,DRS,SU9,87,55,
D,2019-05-17 10:35:00,SU,2346,I,3,HAM,320,140,120,
A,2019-05-17 17:15:00,SU,2347,I,3,HAM,320,140,115,
D,2019-05-17 16:05:00,SU,2348,I,3,HAM,320,140,100,
A,2019-05-17 22:45:00,SU,2349,I,3,HAM,320,140,119,
D,2019-05-17 16:45:00,SU,2352,I,3,VIE,73H,158,144,
A,2019-05-17 23:25:00,SU,2353,I,5,VIE,73H,158,120,
D,2019-05-17 20:00:00,SU,2354,I,5,VIE,320,140,125,
A,2019-05-17 04:10:00,SU,2355,I,5,VIE,320,140,67,
D,2019-05-17 12:00:00,SU,2356,I,3,VIE,73H,158,131,
A,2019-05-17 18:40:00,SU,2357,I,5,VIE,73H,158,123,
D,2019-05-17 08:45:00,SU,2374,I,3,LYS,320,140,68,
A,2019-05-17 17:30:00,SU,2375,I,3,LYS,320,140,70,
D,2019-05-17 20:00:00,SU,2376,I,3,LYS,320,140,64,
A,2019-05-17 04:45:00,SU,2377,I,3,LYS,320,140,22,
D,2019-05-17 08:55:00,SU,2380,I,2,GVA,321,170,81,
A,2019-05-17 17:25:00,SU,2381,I,2,GVA,321,170,133,
D,2019-05-17 17:55:00,SU,2382,I,2,GVA,32B,183,70,
A,2019-05-17 02:10:00,SU,2383,I,3,GVA,32B,183,89,
D,2019-05-17 18:10:00,SU,2386,I,3,ARN,320,140,69,
A,2019-05-17 23:30:00,SU,2387,I,3,ARN,320,140,116,
D,2019-05-17 09:50:00,SU,2390,I,2,ZRH,32B,183,103,
A,2019-05-17 18:00:00,SU,2391,I,2,ZRH,32B,183,153,
D,2019-05-17 18:25:00,SU,2392,I,2,ZRH,321,170,76,
A,2019-05-17 02:50:00,SU,2393,I,3,ZRH,73H,158,81,
A,2019-05-17 04:40:00,SU,2401,I,3,FCO,320,140,78,
D,2019-05-17 08:35:00,SU,2402,I,3,FCO,320,140,86,
A,2019-05-17 17:30:00,SU,2403,I,3,FCO,320,140,99,
D,2019-05-17 18:40:00,SU,2404,I,3,FCO,320,140,75,
D,2019-05-17 11:25:00,SU,2406,I,3,FCO,73H,158,71,
A,2019-05-17 20:15:00,SU,2407,I,3,FCO,73H,158,70,
D,2019-05-17 14:30:00,SU,2408,I,3,FCO,320,140,77,
A,2019-05-17 23:05:00,SU,2409,I,3,FCO,320,140,89,
D,2019-05-17 08:25:00,SU,2410,I,3,MXP,320,140,69,
A,2019-05-17 16:45:00,SU,2411,I,3,MXP,320,140,114,
D,2019-05-17 14:40:00,SU,2412,I,3,MXP,320,140,95,
A,2019-05-17 22:55:00,SU,2413,I,3,MXP,320,140,89,
D,2019-05-17 19:55:00,SU,2414,I,3,MXP,321,170,143,
A,2019-05-17 05:00:00,SU,2415,I,3,MXP,32B,183,66,
D,2019-05-17 06:50:00,SU,2416,I,3,MXP,320,140,41,
A,2019-05-17 15:05:00,SU,2417,I,3,MXP,320,140,56,
D,2019-05-17 10:20:00,SU,2418,I,3,FCO,73H,158,77,
A,2019-05-17 19:10:00,SU,2419,I,3,FCO,73H,158,105,
D,2019-05-17 19:45:00,SU,2422,I,5,VCE,320,140,94,
A,2019-05-17 03:30:00,SU,2423,I,3,VCE,320,140,89,
D,2019-05-17 07:50:00,SU,2424,I,5,BLQ,320,140,78,
A,2019-05-17 15:45:00,SU,2425,I,5,BLQ,320,140,98,
D,2019-05-17 20:05:00,SU,2428,I,3,BLQ,32A,158,79,
A,2019-05-17 04:25:00,SU,2429,I,5,BLQ,32A,158,87,
D,2019-05-17 19:30:00,SU,2436,I,3,DUS,32A,158,151,
A,2019-05-17 10:30:00,SU,2437,I,3,DUS,32A,158,98,
D,2019-05-17 07:35:00,SU,2450,I,3,CDG,32B,183,130,
A,2019-05-17 16:20:00,SU,2451,I,3,CDG,32B,183,160,
D,2019-05-17 10:05:00,SU,2454,I,3,CDG,321,170,132,
A,2019-05-17 18:55:00,SU,2455,I,3,CDG,321,170,148,
D,2019-05-17 14:05:00,SU,2458,I,3,CDG,320,140,80,
A,2019-05-17 22:50:00,SU,2459,I,3,CDG,320,140,129,
A,2019-05-17 04:15:00,SU,2461,I,3,CDG,321,170,110,
D,2019-05-17 11:45:00,SU,2462,I,3,CDG,320,140,94,
A,2019-05-17 20:35:00,SU,2463,I,3,CDG,320,140,119,
D,2019-05-17 13:40:00,SU,2466,I,2,BUD,32A,158,87,
A,2019-05-17 20:15:00,SU,2467,I,2,BUD,32A,158,130,
D,2019-05-17 17:55:00,SU,2468,I,2,BUD,320,140,105,
A,2019-05-17 00:10:00,SU,2469,I,3,BUD,320,140,71,
D,2019-05-17 10:05:00,SU,2470,I,5,NCE,321,170,96,
A,2019-05-17 18:55:00,SU,2471,I,5,NCE,321,170,121,
D,2019-05-17 13:55:00,SU,2472,I,5,NCE,320,140,63,
A,2019-05-17 22:40:00,SU,2473,I,5,NCE,320,140,61,
D,2019-05-17 18:00:00,SU,2474,I,5,NCE,320,140,67,
A,2019-05-17 06:20:00,N4,2478,I,2,KBV,772,440,352,
D,2019-05-17 08:00:00,SU,2480,I,3,NAP,320,140,68,
A,2019-05-17 17:00:00,SU,2481,I,3,NAP,320,140,74,
D,2019-05-17 07:35:00,SU,2482,I,3,VRN,320,140,78,
A,2019-05-17 15:30:00,SU,2483,I,3,VRN,320,140,113,
D,2019-05-17 19:50:00,SU,2496,I,5,CPH,73H,158,39,
A,2019-05-17 03:35:00,SU,2497,I,5,CPH,73H,158,76,
D,2019-05-17 06:40:00,SU,2500,I,3,MAD,32B,183,68,
A,2019-05-17 17:50:00,SU,2501,I,3,MAD,32B,183,139,
D,2019-05-17 09:00:00,SU,2502,I,2,VLC,73H,158,88,
A,2019-05-17 19:35:00,SU,2503,I,2,VLC,73H,158,108,
D,2019-05-17 19:20:00,SU,2512,I,3,BCN,32B,183,153,
A,2019-05-17 05:35:00,SU,2513,I,3,BCN,32B,183,111,
D,2019-05-17 12:10:00,SU,2514,I,3,BCN,32B,183,111,
A,2019-05-17 22:20:00,SU,2515,I,3,BCN,32B,183,132,
D,2019-05-17 11:00:00,SU,2522,I,3,ALC,320,140,73,
A,2019-05-17 22:05:00,SU,2523,I,3,ALC,320,140,93,
D,2019-05-17 18:00:00,SU,2528,I,5,AGP,73H,158,66,
D,2019-05-17 18:25:00,SU,2534,I,5,OSL,SU9,87,32,
D,2019-05-17 07:35:00,SU,2536,I,3,DUS,32B,183,109,
A,2019-05-17 14:55:00,SU,2537,I,3,DUS,32B,183,147,
A,2019-05-17 00:35:00,SU,2539,I,3,OSL,73H,158,68,
D,2019-05-17 12:15:00,SU,2548,I,5,TFS,333,296,159,
A,2019-05-17 04:20:00,SU,2549,I,2,TFS,333,296,244,
D,2019-05-17 09:10:00,SU,2550,I,2,AMS,333,302,208,
A,2019-05-17 17:45:00,SU,2551,I,2,AMS,333,302,263,
D,2019-05-17 07:25:00,SU,2574,I,3,LHR,320,140,53,
D,2019-05-17 09:50:00,SU,2578,I,3,LHR,333,296,152,
A,2019-05-17 19:10:00,SU,2579,I,3,LHR,333,296,149,
D,2019-05-17 07:05:00,SU,2580,I,3,LHR,321,170,90,
A,2019-05-17 16:35:00,SU,2581,I,3,LHR,321,170,76,
D,2019-05-17 13:40:00,SU,2582,I,3,LHR,321,170,114,
A,2019-05-17 23:10:00,SU,2583,I,3,LHR,321,170,150,
D,2019-05-17 19:10:00,SU,2584,I,3,LHR,321,170,147,
A,2019-05-17 04:30:00,SU,2585,I,3,LHR,321,170,131,
D,2019-05-17 19:35:00,SU,2590,I,3,DUB,320,140,77,
A,2019-05-17 04:55:00,SU,2591,I,3,DUB,320,140,85,
D,2019-05-17 19:45:00,SU,2594,I,3,MUC,32B,183,90,
D,2019-05-17 09:15:00,SU,2596,I,5,VCE,32B,183,112,
A,2019-05-17 17:05:00,SU,2597,I,5,VCE,32B,183,127,
D,2019-05-17 08:35:00,SU,2602,I,3,MAD,32B,183,86,
A,2019-05-17 20:00:00,SU,2603,I,3,MAD,32B,183,118,
D,2019-05-17 18:15:00,SU,2604,I,3,MAD,32B,183,73,
A,2019-05-17 05:25:00,SU,2605,I,3,MAD,32B,183,102,
D,2019-05-17 19:30:00,SU,2606,I,2,LIS,73H,158,90,
A,2019-05-17 16:10:00,SU,2607,I,3,LIS,73H,158,125,
D,2019-05-17 09:40:00,SU,2610,I,3,LJU,320,140,83,
A,2019-05-17 17:00:00,SU,2611,I,3,LJU,320,140,98,
D,2019-05-17 11:00:00,SU,2612,I,3,MXP,73H,158,88,
A,2019-05-17 19:25:00,SU,2613,I,3,MXP,73H,158,89,
D,2019-05-17 19:50:00,SU,2618,I,5,BRU,73H,158,81,
A,2019-05-17 03:55:00,SU,2619,I,5,BRU,73H,158,137,
D,2019-05-17 10:00:00,SU,2620,I,3,AGP,73H,158,93,
A,2019-05-17 21:55:00,SU,2621,I,3,AGP,73H,158,152,
D,2019-05-17 14:50:00,SU,2628,I,5,BRU,73H,158,66,
A,2019-05-17 22:50:00,SU,2629,I,5,BRU,73H,158,119,
D,2019-05-17 07:20:00,SU,2638,I,3,BCN,32B,183,134,
A,2019-05-17 17:40:00,SU,2639,I,3,BCN,32B,183,133,
D,2019-05-17 09:35:00,SU,2648,I,3,BCN,32B,183,138,
A,2019-05-17 19:50:00,SU,2649,I,3,BCN,32B,183,113,
D,2019-05-17 15:30:00,SU,2656,I,3,FRA,73H,158,132,
A,2019-05-17 23:10:00,SU,2657,I,3,FRA,73H,158,156,
D,2019-05-17 10:20:00,SU,2658,I,5,CPH,73H,158,58,
A,2019-05-17 16:30:00,SU,2659,I,5,CPH,73H,158,117,
D,2019-05-17 18:15:00,SU,2680,I,3,RIX,320,140,121,
A,2019-05-17 22:25:00,SU,2681,I,3,RIX,320,140,89,
D,2019-05-17 09:15:00,SU,2682,I,3,RIX,320,140,121,
A,2019-05-17 13:20:00,SU,2683,I,3,RIX,320,140,61,
D,2019-05-17 07:15:00,SU,2684,I,3,SXF,73H,158,105,
A,2019-05-17 13:30:00,SU,2685,I,3,SXF,73H,158,109,
D,2019-05-17 14:35:00,SU,2694,I,5,AMS,32B,183,133,
A,2019-05-17 22:40:00,SU,2695,I,5,AMS,32B,183,177,
A,2019-05-17 15:40:00,SU,2699,I,3,RIX,SU9,87,70,
A,2019-05-17 22:30:00,AH,3000,I,5,ALG,736,101,41,
D,2019-05-17 15:50:00,FV,4301,D,1,KUF,73H,189,41,
D,2019-05-17 08:05:00,FV,6137,D,3,KRR,73H,189,149,
A,2019-05-17 13:55:00,FV,6138,D,3,KRR,73H,189,97,
D,2019-05-17 08:40:00,FV,6161,D,3,KGD,73H,189,113,
A,2019-05-17 13:35:00,FV,6162,D,3,KGD,73H,189,118,
D,2019-05-17 23:25:00,FV,6163,D,3,KGD,73H,189,121,
A,2019-05-17 08:10:00,FV,6164,D,3,KGD,73H,189,76,
D,2019-05-17 00:40:00,FV,6167,D,3,REN,73H,189,145,
A,2019-05-17 06:05:00,FV,6168,D,3,REN,73H,189,152,
D,2019-05-17 19:15:00,FV,6171,D,3,REN,73H,189,165,
A,2019-05-17 07:15:00,FV,6172,D,3,REN,73H,189,159,
D,2019-05-17 15:45:00,FV,6173,D,3,SIP,73H,189,124,
A,2019-05-17 22:10:00,FV,6174,D,3,SIP,73H,189,77,
D,2019-05-17 08:25:00,FV,6175,D,3,SIP,73H,189,117,
A,2019-05-17 14:45:00,FV,6176,D,3,SIP,73H,189,70,
D,2019-05-17 17:10:00,FV,6183,D,3,ROV,73H,189,162,
A,2019-05-17 22:10:00,FV,6184,D,3,ROV,73H,189,163,
D,2019-05-17 16:05:00,FV,6185,D,3,AER,73H,189,83,
A,2019-05-17 22:20:00,FV,6186,D,3,AER,73H,189,167,
D,2019-05-17 09:25:00,FV,6187,D,3,MRV,73H,189,87,
A,2019-05-17 15:20:00,FV,6188,D,3,MRV,73H,189,97,
D,2019-05-17 22:55:00,FV,6193,D,3,ROV,73H,189,186,
A,2019-05-17 04:50:00,FV,6194,D,3,ROV,73H,189,91,
D,2019-05-17 18:25:00,FV,6281,D,3,VVO,773,373,228,
A,2019-05-17 14:00:00,FV,6282,D,3,VVO,773,373,299,
D,2019-05-17 17:05:00,FV,6283,D,3,UUS,773,373,358,
A,2019-05-17 12:25:00,FV,6284,D,3,UUS,773,373,299,
D,2019-05-17 19:50:00,FV,6285,D,3,PKC,77W,457,283,
D,2019-05-17 18:30:00,FV,6287,D,3,KHV,773,373,210,
A,2019-05-17 12:30:00,FV,6288,D,3,KHV,77W,457,328,
A,2019-05-17 14:10:00,FV,6290,D,3,GDX,773,373,370,
A,2019-05-17 04:55:00,FV,6296,I,3,DPS,77W,457,360,
D,2019-05-17 21:05:00,FV,6297,D,3,KHV,77W,457,214,
A,2019-05-17 14:35:00,FV,6298,D,3,KHV,773,373,248,
D,2019-05-17 10:50:00,FV,6637,I,3,ORY,73H,189,28,
A,2019-05-17 20:05:00,FV,6638,I,3,ORY,73H,189,79,
D,2019-05-17 19:55:00,SU,7102,I,3,NCE,320,140,83,
D,2019-05-17 04:15:00,RL,7511,I,2,DJE,752,224,180,
D,2019-05-17 03:25:00,RL,7525,I,2,GZP,738,189,152,
D,2019-05-17 03:25:00,RL,7707,I,2,AYT,752,235,188,
D,2019-05-17 15:15:00,RL,7717,I,2,DLM,752,224,180,
D,2019-05-17 03:10:00,RL,7791,I,2,RHO,752,224,180,
D,2019-05-17 04:10:00,N4,7811,I,2,AYT,772,440,352,
A,2019-05-17 02:45:00,N4,7814,I,2,AYT,77W,486,393,
A,2019-05-17 21:45:00,CZ,8371,I,3,SZX,333,284,228,
D,2019-05-17 23:35:00,CZ,8372,I,3,SZX,333,284,198,
D,2019-05-17 13:10:00,ZF,9007,I,2,AYT,75W,238,191,
A,2019-05-17 11:40:00,ZF,9008,I,2,AYT,75W,238,191,
